Gene_Id,padj,logFC
220686_s_at,0.000474,-1.7795338
235416_at,0.000474,-3.704878
239303_at,0.000474,-1.7396368
234367_x_at,0.000474,-3.6789345
207601_at,0.001045,-2.7548539
205509_at,0.001045,-3.5671766
1554628_at,0.001045,-1.4023165
203256_at,0.001103,3.2272292
1570445_a_at,0.001462,-4.5205678
210505_at,0.001462,-4.2682112
205941_s_at,0.001621,4.4626402
209366_x_at,0.001621,-1.3195692
217763_s_at,0.001621,1.6610577
228825_at,0.001621,-1.5798036
219543_at,0.001621,-2.6611743
227140_at,0.001621,4.5624785
219564_at,0.001621,-6.3451455
219313_at,0.001621,-1.168563
217764_s_at,0.001621,1.5137357
234095_at,0.001621,-1.1759052
215726_s_at,0.001621,-1.356913
225520_at,0.001621,1.8643835
1555175_a_at,0.001693,-2.1783733
204745_x_at,0.001693,-2.6264277
212354_at,0.001828,3.525713
1553797_a_at,0.001828,-3.300451
242546_at,0.001828,2.7391107
207843_x_at,0.001828,-1.1813114
223862_at,0.001828,-4.6658703
210511_s_at,0.001828,4.9973833
1554530_at,0.001828,-3.8488261
217762_s_at,0.001829,1.4688334
236118_at,0.001829,-3.5163465
206461_x_at,0.001931,-2.2223449
209213_at,0.002089,-1.363273
217546_at,0.002172,-4.9201424
227566_at,0.002223,2.5567101
230204_at,0.002223,-2.3291384
236513_at,0.002223,-1.5852041
237498_at,0.002223,-1.484926
229948_at,0.002223,-1.648897
223426_s_at,0.002223,-1.4109302
205160_at,0.002223,-1.1262702
1553678_a_at,0.002223,1.0840893
212344_at,0.002223,3.6029829
209309_at,0.002223,-2.9141497
223611_s_at,0.002223,-1.7225589
242775_at,0.002223,-1.328868
228201_at,0.002223,1.0221045
1556554_at,0.002223,-5.4444352
201438_at,0.002223,2.0585832
203773_x_at,0.002303,1.255682
226228_at,0.002353,-7.8413652
1564333_a_at,0.002353,-4.9340908
229802_at,0.002438,2.9533462
236360_at,0.002443,-2.9893156
222654_at,0.002443,0.8106431
216336_x_at,0.002443,-2.3253429
216661_x_at,0.002443,-2.897473
205660_at,0.002443,-2.1176117
212859_x_at,0.002443,-2.1938631
56256_at,0.002443,-1.6002613
217165_x_at,0.002546,-2.5306411
201108_s_at,0.002546,2.0043127
213353_at,0.002546,-1.0314463
212460_at,0.002735,1.0749425
213629_x_at,0.002735,-2.7253588
208072_s_at,0.002745,-1.5597916
225113_at,0.002745,0.8366466
243072_at,0.002745,-1.7361095
209081_s_at,0.002818,1.1560895
1554183_s_at,0.00289,-2.7826247
1569428_at,0.003014,-2.7524049
228805_at,0.003014,-0.8672779
202404_s_at,0.003018,2.5548157
227742_at,0.003052,-4.2177371
1554182_at,0.003109,-3.172515
209605_at,0.003109,-1.4834335
238783_at,0.003109,-1.3752484
227948_at,0.003109,-1.8295716
222548_s_at,0.003109,1.3516372
205913_at,0.003109,-2.6158292
241780_at,0.003109,1.5311638
212353_at,0.003128,3.4271915
226594_at,0.003172,-1.9655584
237724_at,0.0032,-1.9834143
242269_at,0.0032,-2.7400644
212448_at,0.0032,-1.7507481
210524_x_at,0.0032,-2.4116994
235591_at,0.0032,-3.5878601
229499_at,0.003225,-3.0874929
218404_at,0.003225,1.6890116
221730_at,0.003225,1.9868828
228568_at,0.003271,-1.5097561
231766_s_at,0.003271,2.8421016
212551_at,0.003285,2.2140646
238205_at,0.003285,-3.3291893
238681_at,0.003285,-1.6111227
223753_s_at,0.003285,-2.7513421
213869_x_at,0.003285,2.0904904
224950_at,0.003291,1.2402707
225681_at,0.003291,2.8671448
235521_at,0.003291,1.4799522
207173_x_at,0.003291,1.813153
208636_at,0.003333,1.3033908
241436_at,0.003333,-5.306967
204361_s_at,0.003333,1.3420065
235821_at,0.003333,2.4203602
214734_at,0.003333,-0.8676581
225354_s_at,0.003333,-1.7404764
207139_at,0.003333,-8.0231921
219553_at,0.003333,1.0521057
203570_at,0.003333,1.0754167
200793_s_at,0.003333,-1.2160107
223326_s_at,0.003333,-1.1283031
204073_s_at,0.003333,-2.3243567
205290_s_at,0.003333,-1.718422
218765_at,0.003333,-1.458821
235202_x_at,0.003333,1.2615284
229401_at,0.003367,-2.124203
225664_at,0.003367,2.5616933
242881_x_at,0.003367,2.7994804
209966_x_at,0.003367,-4.7037854
225295_at,0.003367,1.6076009
229661_at,0.003394,3.4227639
239606_at,0.003423,-1.5826461
1553647_at,0.003485,-1.1895006
208850_s_at,0.003515,2.5630303
202016_at,0.003515,1.6817218
228469_at,0.003515,-1.7237757
215856_at,0.003515,-1.7414622
242892_at,0.003515,-1.2004022
219327_s_at,0.003515,-1.6666549
221676_s_at,0.003515,1.0898029
219965_s_at,0.003515,-1.1879763
236098_at,0.003515,-2.6824188
211571_s_at,0.003529,1.7772765
242398_x_at,0.003575,-1.133237
214421_x_at,0.003575,-2.8778642
202246_s_at,0.003604,0.7834132
237094_at,0.003604,1.8410751
200665_s_at,0.003628,2.0628742
232309_at,0.003628,-1.5086112
231879_at,0.003628,1.8431189
1562208_a_at,0.003628,-1.4607901
211653_x_at,0.003645,-3.4402445
221729_at,0.003645,1.9518489
229909_at,0.003645,-2.4032758
205499_at,0.003645,1.9913791
231978_at,0.003647,-3.7337804
202772_at,0.003807,-0.8929298
236001_at,0.003807,-3.3526676
201261_x_at,0.003807,2.3708699
1562765_at,0.003807,-1.9614927
201185_at,0.003807,1.4561492
218246_at,0.003807,-0.9224259
216025_x_at,0.003807,-2.7396807
1565823_at,0.00383,0.966997
230409_at,0.003873,-0.9842942
37892_at,0.003947,5.9817584
207426_s_at,0.004021,1.6764978
226237_at,0.004021,3.5217517
212464_s_at,0.004053,2.530473
201035_s_at,0.004055,-1.2157702
205530_at,0.004061,-1.2727517
238222_at,0.004061,-9.1780163
201666_at,0.004061,2.0927926
242445_at,0.004061,-1.722693
208581_x_at,0.004061,-1.8223506
227491_at,0.00407,-1.4606932
236216_at,0.00407,-1.0125759
205289_at,0.004177,-1.8192399
202006_at,0.004236,1.0599907
212841_s_at,0.004236,-1.2858503
242384_at,0.004236,-1.0725719
207546_at,0.004249,-7.960095
244530_at,0.004249,-1.6766921
206172_at,0.004249,3.439477
204519_s_at,0.004249,-2.4707902
219249_s_at,0.004264,2.6036273
229793_at,0.004264,-1.0752139
212624_s_at,0.004264,1.6694207
207560_at,0.004264,-1.2322245
220724_at,0.004264,-5.2324383
226184_at,0.004264,0.9228856
238942_at,0.004328,-2.1172511
237108_x_at,0.004342,-3.8425416
203819_s_at,0.004394,4.6396491
216759_at,0.004407,-1.3104961
211569_s_at,0.004422,-1.1303839
33494_at,0.004422,-1.1275696
216899_s_at,0.004443,1.2494611
228116_at,0.004462,2.2616987
202237_at,0.004462,1.7180859
242055_at,0.004489,-1.5680584
206539_s_at,0.004497,-2.1409082
206796_at,0.004497,2.3684176
222798_at,0.004497,-1.2224832
243015_at,0.004509,-1.5495176
208637_x_at,0.004509,1.5521609
226311_at,0.004519,2.9709372
221552_at,0.004541,-1.0379458
210154_at,0.004667,-0.8773911
241006_at,0.004667,-1.8057252
210067_at,0.004787,-4.1283382
210381_s_at,0.004787,-4.2018853
207719_x_at,0.004787,1.0774047
1569202_x_at,0.004787,-0.8211788
239964_at,0.004787,-2.0618453
212593_s_at,0.004787,-1.2020579
207175_at,0.004787,-3.440471
206292_s_at,0.004787,-3.3252571
205295_at,0.004787,-3.3539361
220602_s_at,0.004787,-0.9301997
206548_at,0.004787,-0.9933354
206324_s_at,0.004787,-1.7021772
223327_x_at,0.004787,-1.1084927
238824_at,0.004787,-0.9147261
219773_at,0.004787,3.5235717
1555522_s_at,0.004787,1.0494522
234015_at,0.004787,-0.9817763
230895_at,0.004787,-3.1604726
221510_s_at,0.004787,1.1241911
203083_at,0.004787,3.6138315
204416_x_at,0.004787,2.5084573
237411_at,0.004787,1.515555
225799_at,0.004814,1.2833652
208694_at,0.004834,0.8295788
206160_at,0.004857,-2.8973238
208644_at,0.004882,0.8520361
211689_s_at,0.004882,-2.0137834
227969_at,0.004883,-1.835941
229459_at,0.004883,2.5620202
201105_at,0.004883,1.2622536
230585_at,0.004883,-3.4536726
1553956_at,0.004883,1.1443985
220191_at,0.004883,-8.9911571
220125_at,0.004883,-2.0206673
220589_s_at,0.005008,-1.0519191
205401_at,0.005025,1.123912
205464_at,0.005026,-3.1638977
220723_s_at,0.005038,-5.2840292
213553_x_at,0.005038,1.8255071
218869_at,0.005038,-0.856714
239151_at,0.005108,-0.7934798
223194_s_at,0.005108,-1.5485598
222901_s_at,0.005108,-3.6170683
202238_s_at,0.005108,1.7361175
201701_s_at,0.005108,-1.0269665
237220_at,0.00511,-3.5531688
209012_at,0.00511,1.0112246
209699_x_at,0.005124,-3.2292147
226553_at,0.005124,-2.0343327
230285_at,0.005184,-1.2016122
201036_s_at,0.005194,-1.0526038
203989_x_at,0.005194,0.9750331
207820_at,0.005194,-2.1455512
235299_at,0.005194,-1.5501389
210797_s_at,0.005194,-1.2839339
209570_s_at,0.005194,-1.1093174
201163_s_at,0.005198,1.0663493
210068_s_at,0.00523,-4.7956692
201617_x_at,0.005249,1.5858584
227861_at,0.00526,-1.4860991
1566440_at,0.00526,-1.4928595
235605_at,0.00526,-0.9591663
221872_at,0.00526,2.0707755
1560281_a_at,0.005308,-2.5992343
236227_at,0.005308,-1.2995029
234709_at,0.005308,-3.7950006
239873_at,0.005351,-2.7603096
211161_s_at,0.005375,1.611439
211806_s_at,0.005375,-2.1293998
205161_s_at,0.005375,-1.1475415
220030_at,0.005375,-2.4009316
219803_at,0.005417,-3.0087351
218599_at,0.005417,-1.3891153
227721_at,0.005417,-1.0664517
223413_s_at,0.005421,0.825391
235638_at,0.005427,-2.3188881
1562945_at,0.005427,-1.6313915
211980_at,0.005469,1.5265119
227926_s_at,0.005512,0.8819658
213878_at,0.005512,-1.1416054
225458_at,0.00552,-2.4816269
204114_at,0.00552,2.2788435
216092_s_at,0.00552,-1.3672036
212791_at,0.00552,0.9226175
210906_x_at,0.00552,-3.7580131
231374_at,0.005523,2.2974636
209558_s_at,0.005523,-0.8906494
211456_x_at,0.005523,-2.0277771
218854_at,0.005523,1.2954947
212185_x_at,0.005523,-1.5517138
1555841_at,0.005523,1.0371324
45288_at,0.005523,-0.9934248
211981_at,0.00556,2.0214329
206212_at,0.00556,-3.9419984
207067_s_at,0.00556,-2.5066087
226742_at,0.00556,-0.9509601
202701_at,0.00556,1.1617188
221020_s_at,0.00556,0.7103941
201430_s_at,0.00556,1.9677092
228577_x_at,0.00556,0.9779789
1564074_at,0.00556,-2.2923642
225285_at,0.00556,1.8231102
230100_x_at,0.005574,-1.02804
205462_s_at,0.005586,-1.2940895
205856_at,0.005604,-1.6154127
230788_at,0.005604,-1.8891956
1555173_at,0.005604,-2.0997682
1566486_at,0.005604,-2.379805
229239_x_at,0.005604,-1.577898
209191_at,0.005604,1.4284034
202731_at,0.005604,-1.3763139
233340_at,0.005604,-2.4644049
240294_at,0.005604,-1.5864256
225639_at,0.005685,1.4295438
226770_at,0.005685,-1.3088343
221781_s_at,0.005685,0.8480787
202311_s_at,0.005685,3.0111652
209646_x_at,0.005685,1.4455596
204879_at,0.005685,1.3339107
205524_s_at,0.005685,-2.282848
215258_at,0.005685,-1.785489
219076_s_at,0.00573,-1.5090306
230907_at,0.00573,-1.549382
205623_at,0.005731,-3.9199847
226302_at,0.005739,-1.3615138
1555705_a_at,0.005757,1.2987455
210495_x_at,0.005784,2.1263202
211117_x_at,0.005784,-2.7118397
217014_s_at,0.005784,-1.382934
209360_s_at,0.005784,1.0638659
244545_at,0.005784,-1.1287028
1553796_at,0.005789,-1.9368233
224707_at,0.0058,-1.9453827
217906_at,0.0058,-0.7648177
243858_at,0.0058,-1.7843449
1561653_at,0.005808,-3.0190239
207714_s_at,0.005823,2.3429657
202752_x_at,0.005823,-1.4289315
226930_at,0.005823,4.216381
200788_s_at,0.005823,0.961811
1559023_a_at,0.005823,-0.8204058
228299_at,0.005823,0.8533857
239006_at,0.005823,-3.6098369
231069_at,0.005823,-1.1302053
202403_s_at,0.005823,1.4765649
216594_x_at,0.005853,-3.1593833
1560692_at,0.005853,-2.1340189
243039_at,0.005904,-1.3381192
238805_at,0.005911,-1.2797041
213265_at,0.005911,-7.9790466
219087_at,0.005911,2.6340362
221008_s_at,0.005911,-5.1363434
203414_at,0.005965,0.981707
1555854_at,0.005965,-3.773018
242945_at,0.005965,-1.6541173
227249_at,0.005986,1.1252454
212488_at,0.006003,1.6469499
209453_at,0.006003,-1.6215008
204051_s_at,0.006053,3.4940891
201110_s_at,0.006053,1.5622452
1558619_at,0.006053,-2.1141663
240110_at,0.006122,-2.0219058
224733_at,0.006127,1.0293608
214213_x_at,0.006128,-1.0583764
204777_s_at,0.006128,-4.1026149
203236_s_at,0.006128,-1.0170078
229218_at,0.006133,2.1969774
211160_x_at,0.006168,1.4675245
224694_at,0.006168,1.5746333
214651_s_at,0.006178,2.4582846
228198_s_at,0.006178,-0.811409
216673_at,0.006178,-2.0557398
236179_at,0.00618,1.9496544
219632_s_at,0.006182,-0.902403
200804_at,0.006206,-0.7715714
203769_s_at,0.006206,-1.3273977
1565282_at,0.006245,-2.579427
201614_s_at,0.006263,1.1873157
228503_at,0.006422,-1.7768097
201792_at,0.006439,1.8902135
201895_at,0.006458,-0.7147016
240601_at,0.006461,-0.9018901
50965_at,0.006473,-1.7816401
1552910_at,0.006473,-3.1810782
222597_at,0.006473,-0.7312143
213125_at,0.006473,1.8944706
228993_s_at,0.006473,-1.0617288
205618_at,0.006519,1.3326287
238623_at,0.006534,1.8957303
210358_x_at,0.006534,-0.9395156
230117_at,0.006548,-2.9647364
223095_at,0.00656,1.3184071
215658_at,0.006582,-2.8118794
201744_s_at,0.006594,1.1653879
223208_at,0.006594,0.904939
1566485_at,0.006594,-2.1571673
230006_s_at,0.006594,-1.1020577
204241_at,0.006594,-1.1109117
1570156_s_at,0.006594,-0.8975755
211719_x_at,0.006594,2.1824677
208813_at,0.006594,-1.2584847
229554_at,0.006631,1.5595454
211442_x_at,0.006662,-1.4263904
219257_s_at,0.006662,1.9800806
200086_s_at,0.006693,-0.5854279
215076_s_at,0.006693,1.146453
1552518_s_at,0.006711,2.6465904
205112_at,0.006739,-1.6060907
210990_s_at,0.006739,1.9312755
1568981_at,0.006739,-1.0355685
202306_at,0.006739,0.780748
1565701_at,0.006739,-1.0611473
202281_at,0.006739,-0.8366794
205069_s_at,0.006739,-0.9438914
41037_at,0.006772,1.0794868
205206_at,0.006837,2.1219398
205141_at,0.006841,-2.0570028
204326_x_at,0.006853,-1.717194
213738_s_at,0.006928,-0.6382022
221122_at,0.006942,-4.0740828
221241_s_at,0.006942,-1.6574986
240096_at,0.006942,-1.923969
227755_at,0.006981,-0.9663736
231849_at,0.006981,2.6227376
204165_at,0.006999,1.7321758
