"Gene_Id","padj","logFC","status"
"209602_s_at",0.0609,3.7054358,"Not_Significant"
"205968_at",0.1181,1.933609,"Not_Significant"
"208608_s_at",0.1494,-2.1511964,"Not_Significant"
"202088_at",0.2452,1.7845901,"Not_Significant"
"213693_s_at",0.2452,3.359939,"Not_Significant"
"219481_at",0.2452,2.1666754,"Not_Significant"
"201629_s_at",0.2452,1.1436643,"Not_Significant"
"218712_at",0.2452,2.0722363,"Not_Significant"
"201596_x_at",0.2452,2.971109,"Not_Significant"
"205225_at",0.2452,1.195559,"Not_Significant"
"201242_s_at",0.2452,2.216679,"Not_Significant"
"208737_at",0.2452,1.7673799,"Not_Significant"
"204330_s_at",0.2452,1.7945659,"Not_Significant"
"201243_s_at",0.2452,1.5664686,"Not_Significant"
"201005_at",0.2452,3.7196055,"Not_Significant"
"222247_at",0.2452,-2.3550841,"Not_Significant"
"222369_at",0.2452,1.5650428,"Not_Significant"
"222140_s_at",0.2452,1.6220879,"Not_Significant"
"219568_x_at",0.2452,-2.5533098,"Not_Significant"
"209942_x_at",0.2452,-1.7224034,"Not_Significant"
"222163_s_at",0.2452,1.9466315,"Not_Significant"
"209603_at",0.2452,1.9652523,"Not_Significant"
"204419_x_at",0.2452,-2.4486283,"Not_Significant"
"214451_at",0.2772,2.4540162,"Not_Significant"
"213326_at",0.2776,1.6147994,"Not_Significant"
"216868_s_at",0.2776,-2.6020217,"Not_Significant"
"206378_at",0.2776,2.1763519,"Not_Significant"
"220200_s_at",0.2776,-2.1114116,"Not_Significant"
"202291_s_at",0.2817,2.1271778,"Not_Significant"
"209524_at",0.3231,1.9438998,"Not_Significant"
"209459_s_at",0.3231,3.3508319,"Not_Significant"
"203215_s_at",0.3231,1.6759587,"Not_Significant"
"217842_at",0.3287,3.1527077,"Not_Significant"
"203519_s_at",0.3287,1.8137285,"Not_Significant"
"207107_at",0.3287,-1.9624517,"Not_Significant"
"217986_s_at",0.3287,1.846623,"Not_Significant"
"206509_at",0.3287,2.4723438,"Not_Significant"
"216095_x_at",0.3287,1.5533684,"Not_Significant"
"201031_s_at",0.3287,1.0473917,"Not_Significant"
"207254_at",0.3287,-1.3854144,"Not_Significant"
"218313_s_at",0.3287,2.5023891,"Not_Significant"
"213808_at",0.3287,-1.248449,"Not_Significant"
"218477_at",0.3287,2.23095,"Not_Significant"
"201650_at",0.3287,4.2976364,"Not_Significant"
"204938_s_at",0.3287,-1.444234,"Not_Significant"
"201131_s_at",0.3287,2.6809667,"Not_Significant"
"214113_s_at",0.3287,1.0393794,"Not_Significant"
"209604_s_at",0.3287,1.8230803,"Not_Significant"
"213176_s_at",0.3287,-1.6366351,"Not_Significant"
"218237_s_at",0.3287,1.5796457,"Not_Significant"
"218640_s_at",0.3287,1.3225835,"Not_Significant"
"213653_at",0.3287,1.9358364,"Not_Significant"
"221949_at",0.3287,-1.4683331,"Not_Significant"
"206962_x_at",0.3287,1.1646362,"Not_Significant"
"203453_at",0.3287,1.7764746,"Not_Significant"
"211893_x_at",0.3287,-0.9421637,"Not_Significant"
"206455_s_at",0.3287,-1.2852271,"Not_Significant"
"220948_s_at",0.3287,1.5412094,"Not_Significant"
"216126_at",0.3287,-1.1937533,"Not_Significant"
"221183_at",0.3287,-1.2173603,"Not_Significant"
"214388_at",0.3287,1.0258563,"Not_Significant"
"201335_s_at",0.3287,1.351346,"Not_Significant"
"216407_at",0.3287,-1.442837,"Not_Significant"
"201758_at",0.3287,1.3936487,"Not_Significant"
"221751_at",0.3287,1.0360282,"Not_Significant"
"217403_s_at",0.3287,-0.960068,"Not_Significant"
"216653_at",0.3287,1.1731119,"Not_Significant"
"216573_at",0.3287,-1.6170556,"Not_Significant"
"206506_s_at",0.3287,-1.2107216,"Not_Significant"
"266_s_at",0.3287,3.8978526,"Not_Significant"
"222103_at",0.3287,2.9657961,"Not_Significant"
"207316_at",0.3287,-1.5918317,"Not_Significant"
"203770_s_at",0.3287,-1.1892938,"Not_Significant"
"215887_at",0.3368,-1.0250163,"Not_Significant"
"207559_s_at",0.3368,1.4581614,"Not_Significant"
"221497_x_at",0.3368,-1.3612525,"Not_Significant"
"211647_x_at",0.3368,1.7175042,"Not_Significant"
"203124_s_at",0.3368,2.0426124,"Not_Significant"
"211375_s_at",0.3395,1.6465184,"Not_Significant"
"217102_at",0.3395,-1.0000809,"Not_Significant"
"202953_at",0.3395,-1.400157,"Not_Significant"
"212406_s_at",0.3395,1.0229186,"Not_Significant"
"217046_s_at",0.3436,-1.2764097,"Not_Significant"
"206009_at",0.345,-1.3577794,"Not_Significant"
"207748_at",0.345,0.9418161,"Not_Significant"
"212779_at",0.345,1.339464,"Not_Significant"
"212502_at",0.3467,1.5486357,"Not_Significant"
"202911_at",0.3467,1.6178342,"Not_Significant"
"209796_s_at",0.3467,1.482599,"Not_Significant"
"201461_s_at",0.3467,-1.4415498,"Not_Significant"
"209209_s_at",0.3467,-1.7960618,"Not_Significant"
"214889_at",0.3467,-1.7835646,"Not_Significant"
"205292_s_at",0.3467,1.3656182,"Not_Significant"
"209586_s_at",0.3467,1.045768,"Not_Significant"
"210596_at",0.3467,1.1200258,"Not_Significant"
"203613_s_at",0.3467,1.320454,"Not_Significant"
"202814_s_at",0.3467,0.9942944,"Not_Significant"
"209775_x_at",0.3467,-1.8951958,"Not_Significant"
"202193_at",0.3467,2.3689478,"Not_Significant"
"212173_at",0.3467,-1.713885,"Not_Significant"
"212692_s_at",0.3467,2.325149,"Not_Significant"
"219434_at",0.3467,1.0777724,"Not_Significant"
"202089_s_at",0.3467,1.0741653,"Not_Significant"
"221505_at",0.35,1.2209258,"Not_Significant"
"211987_at",0.35,1.2360473,"Not_Significant"
"209526_s_at",0.3585,1.0776003,"Not_Significant"
"213354_s_at",0.3612,-0.9710019,"Not_Significant"
"209309_at",0.3612,2.1656955,"Not_Significant"
"205610_at",0.3612,-1.2107827,"Not_Significant"
"207481_at",0.362,1.6306518,"Not_Significant"
"211946_s_at",0.3673,1.63845,"Not_Significant"
"200854_at",0.3748,1.3392918,"Not_Significant"
"202931_x_at",0.3844,-1.094303,"Not_Significant"
"201417_at",0.3848,2.7702384,"Not_Significant"
"219494_at",0.386,1.2490824,"Not_Significant"
"205461_at",0.386,-1.0777257,"Not_Significant"
"211706_s_at",0.386,-1.5100014,"Not_Significant"
"221583_s_at",0.386,-1.7349141,"Not_Significant"
"220282_at",0.3886,-1.9459071,"Not_Significant"
"213518_at",0.3886,1.9847405,"Not_Significant"
"201939_at",0.3886,1.754336,"Not_Significant"
"214168_s_at",0.3886,0.9972626,"Not_Significant"
"202963_at",0.3886,1.2955933,"Not_Significant"
"207648_at",0.3886,-1.1668109,"Not_Significant"
"201711_x_at",0.3886,1.8522768,"Not_Significant"
"221331_x_at",0.3886,-1.0017629,"Not_Significant"
"210962_s_at",0.3918,1.3644586,"Not_Significant"
"200821_at",0.3935,2.6129051,"Not_Significant"
"218715_at",0.3954,1.4737402,"Not_Significant"
"217979_at",0.3954,0.8795256,"Not_Significant"
"209173_at",0.3954,3.6965598,"Not_Significant"
"210715_s_at",0.3954,2.0985141,"Not_Significant"
"200606_at",0.3954,1.2989895,"Not_Significant"
"203047_at",0.3962,-1.3401121,"Not_Significant"
"211179_at",0.3962,-1.1290076,"Not_Significant"
"221610_s_at",0.3962,0.9470324,"Not_Significant"
"208682_s_at",0.3962,2.2340387,"Not_Significant"
"205478_at",0.3962,-2.3318027,"Not_Significant"
"38037_at",0.3962,-1.0577486,"Not_Significant"
"204309_at",0.3962,-1.5695489,"Not_Significant"
"215034_s_at",0.3962,1.4227356,"Not_Significant"
"216142_at",0.3962,-1.3211134,"Not_Significant"
"217794_at",0.3962,1.6244453,"Not_Significant"
"207941_s_at",0.3962,0.9716993,"Not_Significant"
"218740_s_at",0.3962,1.2403993,"Not_Significant"
"203894_at",0.3962,-0.980643,"Not_Significant"
"215039_at",0.3962,-1.4948998,"Not_Significant"
"209899_s_at",0.3962,2.0269036,"Not_Significant"
"210406_s_at",0.398,1.6850338,"Not_Significant"
"219118_at",0.398,-1.1023958,"Not_Significant"
"204014_at",0.398,2.30833,"Not_Significant"
"214460_at",0.398,-1.6802807,"Not_Significant"
"207071_s_at",0.398,-0.9797272,"Not_Significant"
"206491_s_at",0.398,-1.0968165,"Not_Significant"
"203848_at",0.398,1.1388041,"Not_Significant"
"203066_at",0.398,1.1250726,"Not_Significant"
"202890_at",0.398,2.4804277,"Not_Significant"
"204223_at",0.398,-1.64492,"Not_Significant"
"37549_g_at",0.398,-1.3283374,"Not_Significant"
"202823_at",0.398,0.8572281,"Not_Significant"
"211155_s_at",0.398,-1.3335608,"Not_Significant"
"208185_x_at",0.398,1.1198684,"Not_Significant"
"208783_s_at",0.398,1.1332371,"Not_Significant"
"213111_at",0.398,1.8310618,"Not_Significant"
"215404_x_at",0.398,0.9649507,"Not_Significant"
"204134_at",0.398,-1.5462571,"Not_Significant"
"202160_at",0.398,1.5307403,"Not_Significant"
"207967_at",0.398,-0.8692373,"Not_Significant"
"218230_at",0.398,1.0582799,"Not_Significant"
"218541_s_at",0.398,1.7165657,"Not_Significant"
